A	Alay
AA	Anadolu Ajansı
AADFI	AKBB
AAET	Avrupa Atom Enerjisi Topluluğu
AAFSE	GAMHK 
AB	Avrupa Birliği
ABB	Avrupa Birliği Bankası
ABD	Ana bilim dalı
ABGS	Avrupa Birliği Genel Sekreterliği
ABKF	Avrupa Bölgesel Kalkınma Fonu
ABÖ	Afrika Birliği Örgütü
ABS	Motorlu taşıtlarda fren sistemi 
ACU	ATB 
ACÜ	Acıbadem Üniversitesi
AÇSAP	Ana Çocuk Sağlığı ve Aile Planlaması Genel Müdürlüğü
ADB	AKB 
ADFD	ADKF 
ADKF	Abu Dabi Kalkınma Fonu
ADSL	Asimetrik sayısal abone hattı 
ADÜ	Adnan Menderes Üniversitesi
ADYÜ	Adıyaman Üniversitesi
AEGM	Kültür ve Turizm Bakanlığı Araştırma ve Eğitim Genel Müdürlüğü
AEİBÖ	Avrupa Ekonomik İş Birliği Örgütü
AEK	BMAEK
AET	Avrupa Ekonomik Topluluğu
AEÜ	Ahi Evran Üniversitesi
AFAD	Afet ve Acil Durum Yönetimi Başkanlığı
AFFB	Avrupa Futbol Federasyonları Birliği
AFİF	Akaryakıt Fiyat İstikrar Fonu
AFP	FBA 
age.	Adı geçen eser
AGİK	Avrupa Güvenlik ve İş Birliği Konferansı
AGİT	Avrupa Güvenlik ve İş Birliği Teşkilatı
AGM	Ağaçlandırma ve Erozyon Kontrolü Genel Müdürlüğü
agm.	Adı geçen makale
agy.	Adı geçen yayın
AI	UAT 
AİBÖ	Avrupa İş Birliği Örgütü
AİBÜ	Abant İzzet Baysal Üniversitesi
AİÇÜ	Ağrı İbrahim Çeçen Üniversitesi
AID	UKA 
AIDS	Edinilmiş bağışıklık yetersizliği belirtisi 
AİHAD	Avrupa İnsan Hakları Adalet Divanı
AİHM	Avrupa İnsan Hakları Mahkemesi
AİHS	Avrupa İnsan Hakları Sözleşmesi
AİK	Afrika İktisat Komisyonu
AİKB	Avrupa İmar ve Kalkınma Bankası
AİPB	Avrupa İktisadi ve Parasal Birliği
AK	Avrupa Konseyi
AKB	Afrika Kalkınma Bankası
AKBB	Afrika Kalkınma Bankaları Birliği
AKBİL	Akıllı bilet
AKÇT	Avrupa Kömür ve Çelik Topluluğu
AKD	Akdeniz Üniversitesi
AKDTYK	Atatürk Kültür, Dil ve Tarih Yüksek Kurumu
AKM	Atatürk Kültür Merkezi
AKPM	Avrupa Konseyi Parlamenterler Meclisi
AKUT	Arama Kurtarma Teşkilatı
AKÜ	Afyon Kocatepe Üniversitesi
ALADI	LABB
Alb.	Albay
ALES	Akademik Personel ve Lisanüstü Eğitimi Giriş Sınavı
Alm.	Almanca
AMB	Amerika Merkez Bankası
AMEX	AB 
AMF	APF 
AMK	Amerikan Merkez Komutanlığı
ANAM	Avrupa Nükleer Araştırma Merkezi
anat.	Anatomi
ANAÜ	Anadolu Üniversitesi
ANT	Akaryakıt İkmal ve Nato Pol Tesisleri İşletme Başkanlığı
ant.	Antropoloji
AO	Anonim ortaklık
AOÇ	Atatürk Orman Çiftliği
AÖB	Avrupa Ödemeler Birliği
AÖF	Açıköğretim Fakültesi
AP	ABD Haber Ajansı 
APA	Avrupa Para Anlaşması
APB	Avrupa Para Birliği
APE	Avrupa Para Enstitüsü
APEC	APİİB 
APF	Arap Para Fonu
APİİB	Asya Pasif ik İktisadi İş Birliği
APÖ	Avrupa Parlamenterler Örgütü
APS	Acele Posta Servisi
Apt.	Apartman, apartmanı
Ar.	Arapça
AREL	İstanbul Arel Üniversitesi 
AR-GE	Araştırma geliştirme
ark.	Arkeoloji
Arş. Gör.	Araştırma Görevlisi
As.	Asker, askerî, askerlik
As. İz.	Askerî İnzibat
ASAL	Asker Alma Dairesi Başkanlığı
Asb.	Astsubay
ASEAN	GAUT
ASELSAN	Askerî Elektronik Sanayii
ASF	Avrupa Sosyal Fonu
ASİGM	Adli Sicil ve İstatistik Genel Müdürlüğü
ASK	Avrupa Standartlar Komitesi
ASKİ	Ankara Su ve Kanalizasyon İdaresi
ASO	Ankara Sanayi Odası
AST	Ankara Sanat Tiyatrosu
ASTB	Amerika Serbest Ticaret Bölgesi
astr.	Astronomi
astrol.	Astroloji
ASÜ	Aksaray Üniversitesi
AŞ	Anonim şirket
AŞTİ	Ankara Şehirler Arası Terminal İşletmesi
AT	Avrupa Topluluğu
ATAD	Avrupa Toplulukları Adalet Divanı
ATAM	Atatürk Araştırma Merkezi
ATATÜRK	ÜNİ Atatürk Üniversitesi
ATB	Asya Takas Birliği
Atğm.	Asteğmen
ATK	Adli Tıp Kurumu
atm.	Atmosfer
ATO	Ankara Ticaret Odası
ATÜ	Atılım Üniversitesi
ATYGF	Avrupa Tarımsal Yönlendirme ve Garanti Fonu
AUA	Avrupa Uzay Ajansı
AÜ	Ankara Üniversitesi
Av.	Avukat
AVM	Alışveriş merkezi
AYB	Avrupa Yayın Birliği
AYİM	Askerî Yüksek İdare Mahkemesi
